,,T1,T2,T3,T4,T5,E,STD
R^2_test,,0.35368928456153126,0.32317160213982,0.34690571796666814,0.25288190461104154,0.32285596987400345,0.3199008958306129,0.03994336865514606
R^2_train,,0.31793359022566314,0.3243957145391162,0.3185574878074444,0.342817502460117,0.3224982625246279,0.32524051151139377,0.010188696270189559
RMSE_test,,27.80750093394998,30.088791508765127,25.626358026287907,32.01283755724134,30.652393586059535,29.23757632246078,2.5255872239682176
RMSE_train,,29.496872345414907,28.94831854137532,30.030412925552817,28.45234164497446,28.842691103512077,29.15412731216592,0.6158740778186884
Page Popularity,,[5.06561729],[5.0382176],[4.8819401],[5.02022169],[4.95476098],4.992151531469226,0.07391185113505366
Page Checkins,,[0.48628314],[-1.49140678],[0.67264307],[-0.07183057],[0.45411497],0.009960766922230625,0.8837559251416377
Page talking about,,[-0.45257319],[-0.54795448],[-0.51971238],[-0.3689825],[-0.43456596],-0.46475770115189824,0.071018682568751
Page Category,,[-2.00161918],[-0.64582196],[-2.52668416],[-1.48321148],[-2.36870625],-1.805208606964006,0.7623144402004234
extra_0,,[-0.07765051],[-0.05227553],[-0.16563883],[-0.06975883],[-0.10343176],-0.09375109118741451,0.04420588979649884
extra_1,,[0.69130862],[1.46616596],[2.23541058],[-0.11489375],[-0.10204883],0.8351885160835153,1.01986836608548
extra_2,,[4.23437384],[3.98815192],[6.40745393],[4.19235773],[6.31373362],5.027214207596803,1.2212110292442742
extra_3,,[6.49422227],[5.56963399],[5.04975677],[4.16857246],[5.71811658],5.4000604156999845,0.8611591471851991
extra_4,,[2.40646159],[4.91076279],[5.99501733],[5.25555324],[6.48366613],5.010292217156666,1.580388183041344
extra_5,,[9.2643585],[8.80668044],[8.98495752],[9.24820405],[8.59013401],8.978866903925873,0.28932960865298324
extra_6,,[-1.15611697],[-1.58607385],[-2.83237755],[-1.52085564],[-0.40087799],-1.4992603989642317,0.8816739195884378
extra_7,,[-0.64218607],[-1.85351416],[-1.92284314],[-2.00744343],[-1.0811701],-1.5014313823701422,0.6067372568759594
extra_8,,[2.36872863],[3.55581459],[3.76213812],[4.05458477],[3.71552412],3.4913580447648043,0.6529257352323099
